2026-04-30 17:31:45 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-1] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:46 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-04-30 17:31:48 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-04-30 17:31:48 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-04-30 17:31:48 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-2] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:48 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-04-30 17:31:50 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-04-30 17:31:50 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-04-30 17:31:50 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-3] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:50 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [p1-rag-evals_10:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [p1-rag-evals_10:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [p1-rag-evals_10:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [p1-rag-evals_10:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [p1-rag-evals_10:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-04-30 17:31:52 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [p1-rag-evals_10:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-04-30 17:31:52 | Controller | INFO | controller.py:1422 | [p1-rag-evals_10:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 4 for shard 0 (1 batches)
2026-04-30 17:31:52 | QueryProcessingActor-4 | INFO | query_actor.py:165 | [p1-rag-evals_10:QueryProcessingActor-4] Initializing new inference engine (config hash: 190e7a05)
2026-04-30 17:31:53 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
